smiles,FishAT,DMAT,AlgAT,FishCT,DMCT,AlgCT,group
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,0,,,,,,train
NC(=O)c1ccccc1O,0,,,,,,train
O=C(O)c1ccccc1,0,,,,,,test
CCCCCC=O,1,,,,,,train
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,1,,,,,,train
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,1,,,,,,train
O=Cc1ccc(Oc2ccccc2)cc1,1,,,,,,train
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,1,,,,,,valid
CO,0,,,,,,train
CC(C)O,0,,,,,,train
CC(C)=O,0,,,,,,train
ClC(Cl)Cl,1,,,,,,train
CS(C)=O,0,,,,,,test
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,,,,,,train
O=C(O)CS,1,,,,,,train
CN(C)C=O,0,,,,,,train
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1,,,,,,train
CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C,1,,,,,,valid
CCC(=O)c1ccc(N)cc1,0,,,,,,train
CCCO,0,,,,,,train
CCCCO,0,,,,,,train
CCCCCO,0,,,,,,train
c1ccccc1,1,,,,,,test
CC(Cl)(Cl)Cl,1,,,,,,train
CCCC(C)C1(CC)C(=O)N=C(S)NC1=O,1,,,,,,train
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1,,,,,,train
CBr,1,,,,,,train
CCl,0,,,,,,valid
CI,1,,,,,,train
ClCBr,1,,,,,,train
CCCl,0,,,,,,train
C=CCl,0,,,,,,train
CC#N,0,,,,,,test
CC=O,1,,,,,,train
CCS,1,,,,,,train
ClCCl,0,,,,,,train
C1CO1,1,,,,,,train
BrC(Br)Br,1,,,,,,valid
ClC(Cl)Br,1,,,,,,train
CC(C)N,0,,,,,,train
C=C(Cl)Cl,0,,,,,,train
CC(=O)Cl,1,,,,,,train
